judet,data,categorie_pers,total_doze,astra,pfizer,moderna
Arges,2021-03-15,toate,1109,155,575,379
Arges,2021-03-16,1,26,3,20,3
Arges,2021-03-16,2,1142,98,738,306
Arges,2021-03-16,3,7,2,4,1
Arges,2021-03-16,toate,1175,103,762,310
Arges,2021-03-17,1,42,4,30,8
Arges,2021-03-17,2,965,107,686,172
Arges,2021-03-17,3,19,15,4,0
Arges,2021-03-17,toate,1026,126,720,180
Arges,2021-03-18,1,18,2,14,2
Arges,2021-03-18,2,982,79,715,188
Arges,2021-03-18,3,33,18,15,0
Arges,2021-03-18,toate,1033,99,744,190
Arges,toate,1,547,119,379,49
Arges,toate,2,16995,2978,11509,2508
Arges,toate,3,79,35,33,11
Arges,toate,toate,17621,3132,11921,2568
Bacau,2021-03-01,1,25,4,21,0
Bacau,2021-03-01,2,646,211,435,0
Bacau,2021-03-01,3,0,0,0,0
Bacau,2021-03-01,toate,671,215,456,0
Bacau,2021-03-02,1,18,11,7,0
Bacau,2021-03-02,2,655,194,461,0
Bacau,2021-03-02,3,0,0,0,0
Bacau,2021-03-02,toate,673,205,468,0
Bacau,2021-03-03,1,30,6,24,0
Bacau,2021-03-03,2,633,189,444,0
Bacau,2021-03-03,3,1,0,1,0
Bacau,2021-03-03,toate,664,195,469,0
Bacau,2021-03-04,1,54,5,49,0
Bacau,2021-03-04,2,676,175,461,40
Bacau,2021-03-04,3,0,0,0,0
Bacau,2021-03-04,toate,730,180,510,40
Bacau,2021-03-05,1,17,2,13,2
Bacau,2021-03-05,2,822,186,518,118
Bacau,2021-03-05,3,1,0,1,0
Bacau,2021-03-05,toate,840,188,532,120
Bacau,2021-03-06,1,32,4,27,1
Bacau,2021-03-06,2,928,172,599,157
Bacau,2021-03-06,3,0,0,0,0
Bacau,2021-03-06,toate,960,176,626,158
Bacau,2021-03-07,1,18,4,12,2
Bacau,2021-03-07,2,917,143,576,198
Bacau,2021-03-07,3,0,0,0,0
Bacau,2021-03-07,toate,935,147,588,200
Bacau,2021-03-08,1,23,5,17,1
Bacau,2021-03-08,2,757,106,594,57
Bacau,2021-03-08,3,2,0,0,2
Bacau,2021-03-08,toate,782,111,611,60
Bacau,2021-03-09,1,63,19,44,0
Bacau,2021-03-09,2,893,165,658,70
Bacau,2021-03-09,3,1,0,1,0
Bacau,2021-03-09,toate,957,184,703,70
Bacau,2021-03-10,1,25,3,22,0
Bacau,2021-03-10,2,771,141,560,70
Bacau,2021-03-10,3,0,0,0,0
